240 , 243 , 1
169 , 174 , 1
170 , 174 , 1
168 , 173 , 1
167 , 171 , 1
165 , 169 , 1
163 , 166 , 1
161 , 164 , 1
159 , 161 , 1
157 , 158 , 1
155 , 154 , 1
152 , 150 , 1
149 , 147 , 1
147 , 142 , 1
145 , 138 , 1
142 , 133 , 1
140 , 128 , 1
139 , 123 , 1
137 , 117 , 1
137 , 111 , 1
137 , 105 , 1
138 , 99 , 1
140 , 98 , 2
142 , 99 , 2
143 , 97 , 2
143 , 99 , 1
143 , 104 , 1
142 , 110 , 1
141 , 115 , 1
141 , 120 , 1
141 , 125 , 1
142 , 130 , 1
144 , 134 , 1
146 , 138 , 1
147 , 142 , 1
149 , 146 , 1
151 , 149 , 1
153 , 152 , 1
155 , 155 , 1
157 , 157 , 1
159 , 160 , 1
160 , 162 , 1
162 , 163 , 1
163 , 165 , 1
164 , 166 , 1
165 , 167 , 1
165 , 167 , 1
165 , 168 , 1
165 , 168 , 1
165 , 167 , 1
164 , 167 , 1
164 , 166 , 1
163 , 165 , 1
162 , 163 , 1
160 , 162 , 1
159 , 159 , 1
157 , 157 , 1
155 , 155 , 1
153 , 152 , 1
151 , 149 , 1
149 , 145 , 1
147 , 142 , 1
144 , 138 , 1
142 , 133 , 1
141 , 129 , 1
139 , 124 , 1
139 , 118 , 1
138 , 113 , 1
139 , 107 , 1
141 , 103 , 1
143 , 99 , 1
146 , 98 , 1
148 , 100 , 1
148 , 104 , 1
147 , 109 , 1
146 , 114 , 1
144 , 118 , 1
144 , 123 , 1
144 , 128 , 1
144 , 132 , 1
146 , 137 , 1
147 , 141 , 1
149 , 145 , 1
151 , 149 , 1
154 , 153 , 1
156 , 156 , 1
158 , 159 , 1
160 , 162 , 1
162 , 165 , 1
164 , 167 , 1
166 , 170 , 1
167 , 172 , 1
168 , 174 , 1
169 , 175 , 1
170 , 176 , 1
171 , 177 , 1
171 , 178 , 1
171 , 178 , 1
171 , 178 , 1
171 , 178 , 1
170 , 178 , 1
169 , 177 , 1
167 , 176 , 1
166 , 175 , 1
164 , 174 , 1
162 , 172 , 1
160 , 170 , 1
157 , 168 , 1
154 , 166 , 1
151 , 164 , 1
148 , 161 , 1
144 , 159 , 1
140 , 156 , 1
136 , 154 , 1
132 , 151 , 1
127 , 149 , 1
122 , 147 , 1
117 , 146 , 1
111 , 145 , 1
106 , 144 , 1
100 , 145 , 1
95 , 146 , 1
91 , 149 , 1
91 , 151 , 3
92 , 152 , 1
95 , 152 , 1
100 , 151 , 1
105 , 150 , 1
110 , 148 , 1
115 , 148 , 1
119 , 148 , 1
124 , 149 , 1
128 , 151 , 1
132 , 152 , 1
136 , 154 , 1
139 , 156 , 1
143 , 158 , 1
145 , 160 , 1
148 , 162 , 1
151 , 164 , 1
153 , 166 , 1
155 , 167 , 1
157 , 169 , 1
158 , 170 , 1
159 , 171 , 1
160 , 171 , 1
161 , 172 , 1
161 , 172 , 1
161 , 172 , 1
161 , 172 , 1
160 , 171 , 1
159 , 171 , 1
158 , 170 , 1
156 , 169 , 1
155 , 167 , 1
153 , 166 , 1
150 , 164 , 1
148 , 162 , 1
145 , 160 , 1
142 , 158 , 1
139 , 155 , 1
135 , 153 , 1
131 , 151 , 1
127 , 149 , 1
122 , 147 , 1
117 , 146 , 1
112 , 145 , 1
107 , 145 , 1
101 , 146 , 1
97 , 147 , 1
93 , 150 , 1
92 , 152 , 1
94 , 155 , 1
98 , 155 , 1
103 , 154 , 1
107 , 153 , 1
112 , 151 , 1
117 , 150 , 1
122 , 150 , 1
126 , 151 , 1
130 , 152 , 1
134 , 154 , 1
138 , 156 , 1
142 , 158 , 1
146 , 160 , 1
149 , 163 , 1
152 , 165 , 1
155 , 167 , 1
158 , 169 , 1
161 , 171 , 1
163 , 173 , 1
165 , 174 , 1
167 , 175 , 1
168 , 176 , 1
169 , 177 , 1
170 , 178 , 1
171 , 178 , 1
171 , 178 , 1
171 , 178 , 1
171 , 178 , 1
